Note,Description,Date,nombre_good,nombre_follow,key
"3,0","On s'attendait à une fin plus élaborée, clairement. Des débuts engagés de Squid Game (dénonçant l'extrême pauvreté qui touche une grande partie de la population, le désintérêt des riches face à ces prolétaires à la rue, l’appât du gain qui fait faire n'importe quoi...), sa mise en scène clinquante qui nous aguiche l’œil (les jeux comme des cours de récré mortelles, on a adoré le concept), le personnage principal (""le bon gars, le vrai"") dont a vite pitié, quelques seconds rôles attachants (Ali... On ne s'en remet pas), retrouver ""le mec de Busan"" (oui, on a tous eu le même réflexe) pour un petit rôle, un sixième épisode en apogée dramatique de la série... Squid Game a beaucoup d'idées. Mais voilà, après cette vague immense d'atouts, la série semble ne plus savoir trop quoi en faire, et retombe dès l'épisode 7 dans le train-train habituel des films de jeux sadiques où l'on pousse un groupe de personnes à s'entretuer, nous mettant sous le nez des personnages ultra-caricaturaux (le couple du truand et de la folle - élue personnage insupportable de la série -) ou si vicieux que l'on finit par se moquer éperdument de leur sort (l'ami d'enfance du héros), et surtout, une fin à la 
spoiler: 
Saw
. On n'en revient pas d'avoir exactement le même twist, à savoir que 
spoiler: 
le créateur du jeu qui se cache parmi les ""morts"" et se rince l’œil sur le déroulé des épreuves
... On avait déjà à demi compris ce twist, lorsque la série dévoilait trop tôt que 
spoiler: 
le vieux ne gâte pas tant qu'il veut bien le laisser paraître (à la fin de l'épisode six) et qu'il est l'un des uniques personnages dont la mort n'est pas montrée en gros plan en face caméra (cette mise en scène des scènes de tuerie nous agace, on se l'avoue), ce qui interpelle forcément
. Une demi-surprise, donc, pour une déception totale, en revanche. On a aussi failli s'étrangler devant le spectacle navrant des 
spoiler: 
 VIP masqués en animaux ""boule à facettes"" qui viennent faire des paris sur les gagnants en gloussant de plaisir à chaque mort
, ce qui ressemble à la ligne directrice des séries ""dark"" Netflix, qui critiquent de façon balourde, n'impressionnent que les jeunes ados (et encore), et font rire les amateurs de scénario plus fins. La fin laisse aussi la porte ouverte à plusieurs saisons, Netflix oblige, ce que l'on ne trouve pas nécessaire dans l'immédiat (à voir s'il l'on parvient à nous prouver le contraire avec une super saison 2, mais on en doute...). Si suite il y a, on préfèrera voir des alliances entre joueurs comme dans les débuts de Squid Game pour déjouer les pièges, plutôt que des gens qui se tirent dans les pattes de façon mesquine et ultra-prévisible, comme dans les films d'épouvante qu'on commence à connaître. On retient surtout le héros (""vraiment, c'est un bon gars""), le pauvre Ali, quelques jeux déchirants (les billes) ou surprenants (les trois premiers), une mise en scène originale, ""le mec de Busan"" et une critique acerbe de la société. Mais les épisodes 7 à 9 commencent une chute vertigineuse (sans besoin de verre faussement trempé) vers une fin des plus faciles, vue et revue si vous connaissez une certaine saga de films d'épouvante, et assez prévisible. You Win, pour cette saison, mais Game over pour la suite.",Publiée le 2 octobre 2021,"22


10",Suivre son activité,0
"2,5","Encore une série très sur-côtée ! Tout est prévisible au possible, l'idée n'est pas si originale que ça et la fin est vraiment mauvaise... Cependant le jeu d'acteur et la qualité visuelle sont excellents ! On se laisse prendre au fur et à mesure des épisodes mais au final on savait très bien ce qui allait se passer quand, comment et pourquoi et c'est bien dommage. On est bien loin des gros drames coréens ! Ici c'est soft, un peu débile et souvent insupportable mais tout cela reste regardable.",Publiée le 1 octobre 2021,"24


12",Suivre son activité,1
"4,5","Pas fan des séries coréennes en général. Je dois avouer que celle la m'a scotché de bout en bout. Incroyablement cruelle, caricaturant la société d'une façon intelligente. Je conseils !",Publiée le 22 septembre 2021,"20


21",Suivre son activité,2
"4,5","Disons le tout de suite, je suis fan depuis 30 ans des productions asiatiques d'extrême orient, que cela soit des films ou des séries. Avant même s'avoir entendu parlé du buzz créé par cette série, son origine et son pitch m'a terriblement plu en pensant évidemment avant tout à Battle Royale ou la série Liar Game. Bref, je me lance dedans sans hésitation et.... Je n'ai pas pu décrocher jusqu'au dernier épisode. Tout est dit, c'est intense, créatif, accrocheur et terriblement addictif. Je ne souhaite pas forcément qu'il y ait une autre saison car il est parfois bon d'avoir des zones d'ombres qui laissent le téléspectateur à ses idées propres et également bon parfois de n'avoir qu'un seul et unique jet qui se suffit à lui-même sans risquer l'essoufflement que l'appât du gain créé trop souvent.",Publiée le 5 octobre 2021,"9


10",Suivre son activité,3
"4,0","Visuellement recherché, très ludique, rythmé et avec une galerie de personnages intéressants (parce que jamais parfaits). Avec Squid Game, les coréens mettent encore la barre haute avec cette série !",Publiée le 25 septembre 2021,"7



9",Suivre son activité,4
"1,0","Encore un show fast-food à consommer par les amateurs de mauvais goût. Je concède que sur le papier certaines idées scénaristiques sont bonnes, mais comme la mise en scène est malaisante : le surjeu est tout bonnement insupportable (surtout de la part du 1er rôle), on ne croit pas une seconde à l'ambiance de terreur qui devrait pourtant régner, les tortionnaires sont réduits à de simples playmobils sans émotion,... Le grand succès de ces séries à consommer (Casa de Papel, Squid Game, ...) en dit long sur le mauvais goût de la population. A bon entendeur.",Publiée le 29 septembre 2021,"34


25",Suivre son activité,5
"5,0","Très très bonne série. Un mélange de thriller, suspense, drame et surtout action, dans le gore. La série est une pépite et la fin est très recherché. Un chef d'oeuvre. Je vous le conseille vivement si vous avez pas vu, vous passez à côté de quelque chose. Le cinéma coréen nous surprend de plus en plus, en référence à Parasite, Le dernier train de Busan et péninsule.",Publiée le 18 septembre 2021,"28


29",Suivre son activité,6
"0,5","Considérant le degré d'horreur de Squid Game, son parti pris d'un contexte réaliste (la Corée de 2020 et non des dystopies clairement fascistes comme dans Battle Royale, Hunger Games, ou The Purge), et l'ampleur de sa diffusion (meilleur lancement de tous les temps sur Netflix), il est difficile de juger cette œuvre comme un simple divertissement. Plus exactement, il ne s'agit pas d'une série ordinaire, prolongeant sur le petit écran les arts du théâtre et du cinéma, mais d'une résurrection des jeux du cirque, fussent-ils à la fois fictifs et virtuels. La question est donc moins : ""est-ce que c'est bien fait ?"" que ""cette forme de production est-elle souhaitable ?"".Est-ce que c'est bien fait ? On peut saluer rapidement l'art du jeu coréen, plusieurs des acteurs principaux disposant d'un véritable talent de mime. Pour le reste, c'est franchement moyen : les décors sont assez minables une fois la surprise passée, les acteurs secondaires sont nuls, et surtout la réalisation est d'une telle lenteur qu'on se dit par moment qu'un film de deux heures aurait largement suffi à résumer l'histoire.Cette forme de production est-elle souhaitable ? C'est là que le bât blesse évidemment, non, cent fois non - comment accepter la froideur glaciale avec laquelle on nous présente une telle horreur ? Il y a peut-être un biais culturel : l'une des protagonistes dit à un moment ""c'est la pire horreur depuis la guerre de Corée"" - pour un spectateur européen, le ""game"" dans lequel sont plongés les personnages ne peut qu'évoquer les camps de concentration et leur glaçante ironie (arbeit macht frei). La série débute dans l'ambiance réaliste du Séoul contemporain, et il est terrible d'imaginer que l'intrigue n'est pas si invraisemblable. Peu de choses empêcheraient aujourd'hui une organisation criminelle d'enlever, au cœur d'une grande ville d'un pays riche, quelques dizaines d'individus isolés et à bout de course, que personne ne viendrait réclamer, en leur promettant au besoin, tels les méchants de Pinocchio, une récompense aussi faramineuse que fictive. Or, cette horreur possible, totalitaire, nous est dépeinte avec une froide objectivité, le spectateur étant amené à se réjouir des jeux de massacres successifs, à l'image des affreux gorets présentés par les destinataires de ces jeux cruels. Les participants au squid game seront éliminés les uns après les autres, dans l'indifférence polie du spectateur qui y voit du ""beau jeu"", sans qu'eux-mêmes, parfaitement résignés, ne développent des réactions élémentaires de révolte, de désespoir, de solidarité ou d'empathie - enfin, d'humanité.A l'heure où s'éteignent les derniers survivants de la Shoah, la possibilité de réaliser une telle œuvre interroge profondément sur notre capacité à accepter une nouvelle ère de massacres de masse. On se déteste d'avoir regardé (maigre consolation : pas tout à fait jusqu'au bout). On pleure devant les critiques dithyrambiques de la presse et des spectateurs.",Publiée le 4 octobre 2021,"22


25",Suivre son activité,7
"1,5","Une série phénomène pathétique, rempli de moment gore sans intérêt qui apporte seulement des scènes sanglantes. Une série qui avait pour but de choqué le public sur une société défavorisée qui a pour seule emprise : l'amour de l'argent. Je dirai en réalité un double tranchant de façon permanent quand on se rend compte du déroulement de l'histoire. Nous sommes que de simples spectateurs face à la cruauté de cette série, c'est un piège ? Beaucoup de choses tellement prévisible qui perd toute sa crédibilité...C'est dommage. J'espère bien que ce phénomène va se transformer en cauchemar.",Publiée le 3 octobre 2021,"16


10",Suivre son activité,8
"3,5","Plutôt bien réalisé et interprété mais bénéficiant d'un engouement démesuré au vue de ce que propose la série. Pour quiconque aurai déjà vue 13 beleoved, Battle royale ou même l'aseptisée Hunger game la série n'est au finale qu'un simple Battle royale de plus, aux idées plus ou moins bonnes. Les personnages ne sont pas si développer que çà, au final on a des centaines de participants mais niveau émotionnel c'est souvent le néant ce qui fait que la plupart du temps la disparition d'intel ou intel laisse de marbre. De plus la vraisemblance du projet est tout de même mise à rude épreuve, même si les participants ont pour la plupart des problèmes d'argent ou sont mal intégrés à la société c'est difficile de croire que personne ne va se mettre à les recherchés au moins quelque un sur la les centaines! Surtout que malgré tout la plupart ont des familles. Et il n'y""a pas de véritable fin ou révélation, hormis la mégalomanie d'un 
spoiler: 
vieillard qui voulait rejouer à ces jeux d'enfants tout en dénonçant la société.
. Le changement de personnalité du perso a la fin est la bienvenue le rendant beaucoup plus mature. Une série correcte donc qui se laisse agréablement suivre malgré son démarrage un peu lent mais qui n'es pas franchement novateur ni original.",Publiée le 2 octobre 2021,"4


4",Suivre son activité,9
